Energy,Mo,Ta,W,Au,Cu,Ni,Pd,Pt,Rh,Cd,Co,Hf,La,Os,Re,Ru,Sc,Tc,Ti,Y,Zn,Zr
-8.700000000000008,0.0,0.0,0.05542326949999959,0.10690291499999542,0.0605299789999996,0.01563336499999957,0.0,0.09539271749999963,0.0,16.51452799999919,0.00396691484999862,0.0,0.0,0.228,0.121,0.0,0.0,0.0,0.0,0.0,0.595965959999983,0.0
-8.600000000000009,0.0,0.0,0.05902326949999959,0.11390291499999543,0.0657299789999996,0.01853336499999954,0.0,0.101,0.0,14.442736000000444,0.025269217499997776,0.0,0.0,0.24879401999999512,0.13,0.0,0.0,0.0,0.0,0.0,1.07,0.0
-8.500000000000009,0.0,0.0,0.06412326949999957,0.121,0.07162997899999954,0.021633364999999544,0.0,0.107,0.0,9.95684000000111,0.029853843499999554,0.0,0.0,0.271,0.138,0.0,0.0,0.0,0.0,0.0,1.2649148999999533,0.0
-8.40000000000001,0.0,0.0,0.06842326949999958,0.129,0.07592997899999954,0.0251,0.0,0.113,0.0,11.4,0.036407686999999106,0.0,0.0,0.275,0.146,0.0,0.0,0.0,0.0,0.0,8.398978799999439,0.0
-8.30000000000001,0.0,0.0,0.07192326949999957,0.13890291499999535,0.08022997899999951,0.02723336499999954,0.0,0.12,0.0,4.2670944000001985,0.04480768699999903,0.0,0.0,0.29,0.15443341499999524,0.0,0.0,0.0,0.0,0.0,8.604914899999953,0.0
-8.20000000000001,0.0,0.0,0.0768232694999995,0.149,0.08472997899999951,0.02933336499999948,0.0,0.128,0.0,0.18357263999999504,0.050053843499999466,0.0,0.0,0.31479401999999496,0.16343341499999475,0.0,0.0,0.0,0.0,0.0,8.790170200000103,0.0
-8.10000000000001,0.0,0.0,0.08112326949999951,0.15990291499999454,0.08962997899999951,0.0319,0.0,0.136,0.0,0.2,0.054153843499999466,0.0,0.0,0.3537940199999942,0.173,0.0,0.0,0.0,0.0,0.0,15.149148999999486,0.0
-8.00000000000001,0.0,0.0,0.08572326949999949,0.17290291499999444,0.09472997899999945,0.034533364999999455,0.0,0.145,0.0,0.206,0.05915384349999947,0.0,0.0,0.378,0.183,0.0,0.0,0.0,0.0,0.0,15.494893999996922,0.0
-7.900000000000011,0.0,0.0,0.09122326949999948,0.188,0.0987,0.0364,0.0,0.156,0.0,0.215,0.06395384349999944,0.0,0.0,0.42179401999999416,0.194,0.00480143989999735,0.0,0.0,0.0,0.0,15.605106000003078,0.0
-7.800000000000011,0.0,0.002068005999998769,0.09652326949999945,0.20690291499999405,0.103,0.0384,0.0,0.16892717499999452,0.017593259999995267,0.224,0.06935384349999943,0.0,0.0,0.4905880399999883,0.205,0.039320208499994465,0.0,0.0,0.0,0.0,11.397446999998197,0.0
-7.700000000000012,0.0,0.01772545999999888,0.101,0.22790291499999407,0.10729978999999426,0.0405,0.0,0.183,0.024823314999998815,0.234,0.0749,0.0,0.0,0.953498339999893,0.2164334149999941,0.052740069499998155,0.0,0.0,0.0,0.0,14.012765000009015,0.0
-7.600000000000012,0.0,0.027725459999998824,0.107,0.2629029149999937,0.112,0.0428,0.0,0.199,0.03501165749999937,0.24507263999999376,0.07865384349999938,0.0,0.0,1.56,0.233,0.06572671299999867,0.0,0.0,0.0,0.0,12.000851000000601,0.0
-7.500000000000012,0.0,0.034562729999999396,0.113,0.3189029149999936,0.117,0.0452,0.0,0.22292717499999365,0.04001165749999937,0.27007263999999376,0.08275384349999937,0.0,0.0,1.5,0.254,0.08085342599999736,0.0,0.0,0.0,0.0,17.09574499999699,0.0
-7.400000000000013,0.0,0.039625459999998794,0.119,0.5737378949999169,0.122,0.047133364999999365,0.0,0.2599271749999936,0.04721165749999936,0.269,0.08725384349999936,0.0,0.0,1.5,0.257,0.09432671299999866,0.0,0.0,0.0,0.0,14.9,0.0
